pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_eqt,st_mass,st_rad,st_teff,sy_dist,disc_year
"55 Cnc e","55 Cnc",0.73654740000,0.0154400000,0.050000,83.59000,0.02513923,0.16727630,,0.905000,0.943000,5172.00,12.58550000,2004
"55 Cnc f","55 Cnc",260.58000000000,0.8020000000,0.063000,,0.15259807,,,1.015000,0.980000,5198.00,12.58550000,2007
"61 Vir b","61 Vir",4.21500000000,0.0502010000,0.120000,,0.01600000,,,0.942000,0.963000,5577.00,8.50332000,2009
"61 Vir c","61 Vir",38.02100000000,0.2175000000,0.140000,,0.05700000,,,0.942000,0.963000,5577.00,8.50332000,2009
"61 Vir d","61 Vir",123.01000000000,0.4760000000,0.350000,,0.07200000,,,0.942000,0.963000,5577.00,8.50332000,2009
"6 Lyn b","6 Lyn",919.86000000000,2.0280000000,0.042000,,1.88100000,,,1.320000,4.940000,4941.00,54.65990000,2008
"70 Vir b","70 Vir",116.68800000000,0.4810000000,0.398800,,7.41600000,,,1.090000,1.890000,5495.00,17.90110000,1996
"7 CMa b","7 CMa",735.10000000000,1.7580000000,0.060000,90.00000,1.85000000,,,1.340000,4.870000,4826.00,19.81010000,2011
"81 Cet b","81 Cet",1005.57000000000,2.1040000000,0.037000,,3.30700000,,,1.230000,11.210000,4734.00,101.26000000,2008
"AB Pic b","AB Pic",,260.0000000000,,,13.50000000,,,,,,50.04750000,2005
"BD-08 2823 b","BD-08 2823",5.60000000000,0.0600000000,0.150000,,0.04000000,,,0.500000,0.710000,4816.00,41.33420000,2009
"BD-08 2823 c","BD-08 2823",237.60000000000,0.6800000000,0.190000,,0.33000000,,,0.740000,,4746.00,41.33420000,2009
"BD-10 3166 b","BD-10 3166",3.48777000000,0.0400000000,0.020000,,0.59000000,,,1.470000,0.910000,5393.00,84.40690000,2000
"BD+14 4559 b","BD+14 4559",268.94000000000,0.7800000000,0.290000,,1.04000000,,,0.490000,0.860000,4864.00,49.35200000,2009
"BD-17 63 b","BD-17 63",655.57000000000,,0.543900,,5.16000000,,,0.741000,,,34.46030000,2008
"BD+20 2457 b","BD+20 2457",379.63000000000,1.4500000000,0.150000,,21.42000000,,,2.800000,49.000000,4137.00,1539.71000000,2009
"BD+20 2457 c","BD+20 2457",621.99000000000,2.0100000000,0.180000,,12.47000000,,,2.800000,49.000000,4137.00,1539.71000000,2009
"BD+48 738 b","BD+48 738",392.60000000000,1.0000000000,0.200000,,0.91000000,,,0.740000,11.000000,4414.00,871.49300000,2011
"bet Pic b","bet Pic",8617.50952000000,10.0180000000,0.106000,89.00900,11.72900000,,,1.795000,,,19.74420000,2008
"CoRoT-10 b","CoRoT-10",13.24060000000,0.1055000000,0.530000,88.55000,2.75000000,0.97000000,600.00,0.890000,0.790000,5075.00,338.38600000,2010
"CoRoT-11 b","CoRoT-11",2.99433000000,0.0436000000,0.000000,83.17000,2.33000000,1.43000000,1657.00,1.270000,1.370000,6440.00,655.03700000,2010
